id,name,category,subcat,price
853,Smartphone UV Sanitizer,Health,Personal Care & Grooming,43.99
854,Sparkling Blood Orange Soda,Food - Beverages,Sparkling Beverages,2.19
855,Dish Soap Dispenser,Kitchen,Kitchen Accessories,20.89
856,Body Wash,Beauty,Bath & Body,14.29
857,Sriracha Chili Sauce,Food - Condiments,Hot Sauces,3.07
858,Coconut Oil,Food - Oils & Vinegars,Oils,7.14
859,Kale & Quinoa Salad Mix,Food - Salads,Ready-to-Eat Salads,4.94
860,Kettle BBQ Grill,Outdoor,Grills and Smokers,109.99
861,Bluetooth Shower Speaker,Audio,Portable Speakers,27.49
862,Digital Meat Thermometer,Kitchen,Cooking Tools & Utensils,27.49
863,Rechargeable Battery Organizer,Home,Home Organization,19.79
864,Vegetarian Chili,Food - Canned Goods,Soups & Broths,4.39
865,Stuffed Bell Peppers,Food - Frozen Meals,Frozen Vegetarian Meals,6.59
866,Chocolate Protein Powder,Food - Supplements,Supplements,27.49
867,Apple Pie Filling,Food - Canned Goods,Canned Fruits,3.84
868,Fleece Hoodie,Clothing - Outerwear,Hoodies,43.99
869,Chocolate Dipped Fruit,Food - Snacks,Sweet Snacks,6.59
870,Sesame Garlic Stir-Fry Sauce,Food - Sauces,Asian Sauces,3.07
871,Coconut Cashew Yogurt,Food - Dairy Alternatives,Plant-Based Yogurt,2.19
872,Sweet Potato Tots,Food - Frozen Foods,Frozen Snacks,4.72
873,Sous Vide Cooker,Kitchen,Cooking Appliances,87.99
874,Pet Hair Vacuum Attachment,Pets,Grooming Supplies,16.49
875,Sparkling Blood Orange Soda,Food - Beverages,Sparkling Beverages,2.19
876,Kids' Gardening Kit,Toys,Outdoor Play Toys,27.49
877,Elderberry Syrup,Food - Supplements,Supplements,13.19
878,Roasted Red Pepper Hummus,Food - Dips,Vegetable Dips,3.84
879,LED Christmas Lights,Home,Seasonal Home Decor,32.99
880,Spicy Tuna Rolls,Food - Seafood,Sushi,7.14
881,Silicone Baking Cups,Kitchen,Baking Accessories,12.09
882,Stainless Steel Grater,Kitchen,Kitchen Gadgets,16.49
883,High-Speed HDMI Cable,Electronics,Cables & Accessories,14.29
884,Vegan Mac & Cheese,Food - Frozen,Frozen Meals,9.89
885,Honeycrisp Apple Chips,Food - Snacks,Dried Fruits,3.84
886,Cranberry Almond Cookies,Food - Bakery,Cookies,4.72
887,Board Game,Toys,Tabletop Games,38.49
888,LED Camping Lantern with USB Charging,Outdoor,Camping Equipment,38.49
889,Potato Wedge Seasoning,Food - Condiments,Seasoning Blends,2.74
890,Tomato Sauce,Food - Canned Goods,Sauces & Condiments,3.07
891,Ranch Dressing,Food - Condiments,Dressing,2.85
892,Fire Roasted Salsa,Food - Condiments,Salsas,2.74
893,Grass Fed Beef Patties,Food - Meat,Grass-Fed Meat Products,10.99
894,Insulated Lunch Box,Kitchen,Food Storage Solutions,27.49
895,Creative Puzzle Game,Toys,Educational Toys,21.99
896,Chickpea Pasta,Food - Pasta,Specialty Pasta,4.61
897,Magic Color-Changing Mug,Kitchen,Drinkware,16.49
898,Italian Sausage and Peppers,Food - Meat,Prepared Meals,9.89
899,Wireless Game Controller,Gaming,Gaming Accessories,43.99
900,Sunflower Seeds,Food - Nuts,Seeds & Nuts,3.29
901,Electric Butter Churn,Kitchen,Small Appliances,54.99
902,High-Quality Yoga Block,Fitness,Yoga Equipment,14.29
903,Aged White Cheddar Popcorn,Food - Snacks,Gourmet Snacks,3.29
904,Kettle Corn Popcorn,Food - Snacks,Savory Snacks,3.29
905,Honey Almond Granola Bars,Food - Snacks,Healthy Snacks,4.39
906,Raspberry Tart,Food - Baked Goods,Pies and Tarts,6.04
907,Chocolate Chip Pancake Mix,Food - Bakery,Baking Mixes,4.39
908,LED Desk Light,Home,Lighting & Lamps,38.49
909,Apple Juice,Food - Beverages,Juice,3.62
910,Deluxe First Aid Kit,Health,Emergency Preparedness & First Aid,43.99
911,Travel Shoe Bags Set,Travel,Travel Accessories,17.59
912,Memory Foam Pillow,Home,Bedding & Linens,43.99
913,Smart Scale,Health,Fitness & Nutrition,65.99
914,Gaming Headset,Gaming,Gaming Accessories,76.99
915,Canned Sardines,Food - Seafood,Canned Seafood,3.62
916,Fire Roasted Salsa,Food - Condiments,Salsas,2.74
917,Heat-Resistant Silicone Mat,Kitchen,Baking Accessories,21.99
918,Frozen Acai Bowl,Food - Frozen Foods,Frozen Smoothies,7.14
919,Greek Yogurt Parfait,Food - Dairy,Yogurt,4.94
920,Portable Camping Stove,Outdoor,Camping Equipment,54.99
921,Smart Thermos,Fitness,Hydration Gear,43.99
922,Sunglasses,Accessories,Eyewear,32.99
923,Organic Apples,Food - Produce,Fruits,2.08
924,Sesame Garlic Noodles,Food - Pasta,Asian Dishes,3.84
925,Pressure Washer Accessories Kit,Home Improvement,Outdoor Cleaning,43.99
926,Sunglasses Case,Accessories,Eyewear,17.59
927,Vanilla Ice Cream,Food - Frozen Foods,Frozen Desserts,5.49
928,Wireless Charging Station,Electronics,Mobile Accessories,43.99
929,Premium Flashlight,Outdoor,Camping Equipment,21.99
930,Basil Tomato Soup,Food - Canned Soups,Soups,3.29
931,Organic Vanilla Bean Ice Cream,Food - Frozen Desserts,Ice Cream,6.59
932,Glass Tea Pot,Kitchen,Coffee Equipment,38.49
933,Electric Can Opener,Kitchen,Kitchen Gadget,32.99
934,Cotton Pajama Set,Clothing - Loungewear,Sleepwear,54.99
935,Kids' Art Easel,Toys,Creative Toys,64.89
936,Buffalo Cauliflower Wings,Food - Frozen Foods,Frozen Appetizers,7.69
937,Phone Screen Protector,Accessories,Mobile Accessories,14.29
938,Bamboo Utensil Set,Kitchen,Eco-Friendly Kitchen Products,16.49
939,Non-Stick Grill Mat,Outdoor,Grilling Accessories,21.99
940,Insulated Cooler,Outdoor,Camping Equipment,43.99
941,Wireless HDMI Transmitter,Electronics,Audio & Video Accessories,87.99
942,Compact Shoe Rack,Home,Home Furnishings,38.49
943,Eco-Friendly Yoga Mat,Fitness,Sustainable Fitness Equipment,43.99
944,Ceramic Bakeware Set,Kitchen,Cookware,54.99
945,Tailored Dress Pants,Clothing - Bottoms,Trousers,87.99
946,Chocolate Syrup,Food - Condiments,Syrups,3.29
947,Fleece Throw Blanket,Home,Bedding & Linens,32.99
948,Pumpkin Pie Spice,Food - Baking,Baking Ingredients,3.29
949,Personal Blender with Travel Lid,Kitchen,Blenders & Juicers,38.49
950,Brussels Sprouts,Food - Produce,Vegetables,3.84
951,Maple Bacon Potato Chips,Food - Snacks,Savory Snacks,3.18
952,Tattoo Kit,Art Supplies,Tattoo Supplies,109.99
953,Yoga Mat,Fitness,Yoga Equipment,27.50
954,Ground Cinnamon,Food - Spices,Herbs and Spices,2.19
955,Garam Masala Spice Blend,Food - Spices,Regional Seasoning Blends,3.07
956,Aeropress Coffee Maker,Kitchen,Coffee Equipment,32.99
957,Adjustable Laptop Desk,Office,Furniture,65.99
958,Basmati Rice,Food - Grains,Rice,6.37
959,Eco-Friendly Stainless Steel Straws,Kitchen,Kitchen Accessories,14.29
960,Feta Cheese Crumbles,Food - Dairy,Cheese,2.74
961,Shoe Organizer,Home,Home Organization,43.99
962,Dog Walking Waist Pack,Pets,Dog Accessories,21.99
963,Sriracha Sauce,Food - Condiments,Hot Sauces,3.51
964,Thai Peanut Dressing,Food - Condiments,Dressing,3.62
965,Almond Flour Pizza Crust,Food - Frozen Foods,Frozen Pizza Crusts,8.79
966,Garden Tool Set with Carrying Bag,Garden,Garden Tools,43.99
967,Collapsible Water Bottle,Fitness,Hydration Gear,14.29
968,Frozen Mixed Berries,Food - Frozen Foods,Frozen Fruits,6.59
969,Organic Spinach,Food - Produce,Leafy Greens,3.29
970,Fitness Tracker Band,Fitness,Wearable Technology,32.99
971,Folding Backpack Chair,Outdoor,Camping Equipment,54.99
972,Dark Chocolate Almond Butter Cups,Food - Snacks,Nut-Based Snacks,5.49
973,Maple Oatmeal,Food - Breakfast,Instant Breakfast,3.29
974,Stainless Steel Mixing Bowls,Kitchen,Cookware,32.99
975,Electric Wax Warmer,Home,Home Fragrance & Accessories,25.29
976,Chipotle Black Bean Salad,Food - Salads,Bean Salads,3.62
977,Vegetable Broth,Food - Canned Goods,Soups & Broths,2.52
978,Portable USB-C Monitor,Electronics,Computer Accessories,219.99
979,Comfort Flats,Clothing - Shoes,Casual Footwear,49.49
980,DIY Candle Kit,Crafts,Candle & Soap Making Supplies,38.49
981,Protein Pancake Mix,Food - Breakfast,Pancakes & Waffles,4.39
982,Green Tea Matcha Powder,Food - Beverages,Tea,17.59
983,Cinnamon Sugar Popcorn,Food - Snacks,Savory Snacks,3.18
984,Chocolate Chip Pancake Mix,Food - Bakery,Baking Mixes,4.39
985,Oven-Baked Sweet Potato Fries,Food - Frozen Foods,Frozen Vegetables,4.39
986,Wall Calendar,Home,Decorative Wall Art & Accessories,19.79
987,Mini Projector,Electronics,Portable Audio & Video Equipment,186.99
988,Freestanding Wine Rack,Home,Home Organization,87.99
989,Kids' Activity Book,Books,Children's Educational Books,16.49
990,Shatterproof Wine Glasses,Outdoor,Outdoor Accessories,27.49
991,Peach Green Tea,Food - Beverages,Tea,3.84
992,Leather Notebook Cover,Office,Office Accessories,32.99
993,Self-Watering Planters,Garden,Planters,54.99
994,Artisan Bread Loaf,Food - Bakery,Breads,4.39
995,Suction Cup Hooks,Home,Home Organization,10.99
996,Smart LED Desk Lamp,Office,Lighting,43.99
997,Children's Art Set,Toys,Creative Toys,38.49
998,Cinnamon Roll Protein Bar,Food - Snacks,Protein Snacks,3.29
999,Oven Thermometer,Kitchen,Cooking Tools & Utensils,13.19
1000,Athletic Jogging Jacket,Clothing - Outerwear,Activewear Jackets,54.99
